﻿百子湾家园C区就这一套商品房三居室满五年,39.899094631010978,116.51156734482972,2007年,775,2018-10-20,41787243,3室2厅2卫,低楼层/19层,集中供暖,133.82平米
﻿富力又一城A区南北通透三居139.16平米730万满五年唯一,39.84732912260175,116.56603377413694,2007年,730,2018-10-19,41783324,3室2厅2卫,高楼层/22层,自供暖,139.16平米
﻿亦庄金茂悦 恒湿恒温恒氧 科技住宅,39.75449187065952,116.48393465601925,,840,2018-10-19,41779906,3室2厅2卫,低楼层/12层,,143.46平米
﻿方庄 芳群公寓 南向 三居 业主诚心出售,39.85900238440734,116.42491563030197,2000年,750,2017-07-30,38405799,3室2厅3卫,低楼层/31层,集中供暖,147.5平米
﻿"南北向三室二厅二卫,拎包入住",40.11059660973757,116.54852035160906,2009年,738,2018-10-23,41809103,3室2厅2卫,高楼层/7层,自供暖,140.88平米
﻿房本满5年，带电梯，南北通透，不临街3居，无抵押,39.78890062758818,116.49806723573588,2003年,750,2018-10-23,41808963,3室1厅2卫,顶层/9层,集中供暖,121.58平米
﻿华业东方玫瑰 经典三居 采光好 无遮挡,39.88088407772434,116.68552758514453,,820,2018-10-20,41790583,3室2厅2卫,高楼层/23层,,133.49平米
﻿中海城圣朝菲南北三居880万,39.839282905931579,116.4523606822873,2010年,872,2018-10-18,41773918,3室2厅2卫,中楼层/22层,集中供暖,135.49平米
﻿媒体村东南向三居室 几十万精装 靠近奥森公园 交通便利,40.03824708627605,116.4133778611046,2008年,850,2018-10-17,41764398,3室2厅2卫,高楼层/32层,自供暖,132.53平米
﻿珠江东都国际南北通透大三居 带独立餐厅,39.92651087803798,116.68470489068048,2014年,765,2018-10-16,41759274,3室2厅2卫,底层/15层,集中供暖,143.18平米
﻿华辉苑三居室诚意出售，三环边，环境好,39.870041821132627,116.45836183959523,2004年,900,2018-10-16,41755046,3室2厅2卫,中楼层/23层,集中供暖,150.74平米
﻿新上房源 亚运村 2008年建成商品房 3居室,39.99537422340995,116.41141139776907,2008年,810,2018-10-15,41752701,3室1厅1卫,中楼层/21层,集中供暖,114.61平米
﻿板楼南北通透全明格局三居室，一梯两户，中高楼层,40.03713573984719,116.42040313282016,2002年,810,2018-10-14,41747473,3室2厅1卫,高楼层/11层,集中供暖,121.3平米
﻿满五唯一商品房！南东北通透的三居！中楼层！采光足,39.866690101759598,116.50638148407876,2008年,836,2018-10-14,41739932,3室2厅2卫,中楼层/12层,自供暖,121.6平米
﻿东坝地铁3号线+奥林匹克花园诚售三居+高楼层给周期,39.957542604745068,116.54228966927319,2009年,865,2018-10-13,41734177,3室2厅2卫,高楼层/9层,自供暖,139.85平米
﻿格兰晴天130平大平层三居出售。,39.88820008167614,116.67402373364379,2004年,700,2018-10-13,41733932,3室2厅2卫,中楼层/6层,集中供暖,130.51平米
﻿三环边，南北通透三居，户型正采光好，小区人车分流，环境优美,39.85766064963125,116.44063140633975,2006年,720,2018-10-13,41732984,3室1厅1卫,低楼层/16层,自供暖,130.95平米
﻿原生墅大3居，南北通透格局方正，精装修。,39.76017827823155,116.32545679557802,2003年,780,2018-10-13,41731661,3室2厅2卫,中楼层/7层,自供暖,149.54平米
﻿五环路城市绿洲 南北三居室 客厅主卧朝南 中楼层采光足,40.0234208464821,116.43053002748742,2004年,895,2018-10-12,41725127,3室2厅2卫,高楼层/9层,,136.85平米
﻿金榜园 全明三居 眼睛户型 满五年一套 诚心出售,40.06011265545104,116.32835763598369,2004年,750,2018-10-12,41722051,3室2厅2卫,底层/11层,集中供暖,129.51平米
﻿三环里，地铁口，新小区，南北三大局，满五随时看,39.85900238440734,116.42491563030197,1905年,830,2018-10-11,41713156,3室2厅2卫,低楼层/31层,集中供暖,148.01平米
﻿双花园西里社区，三室一厅一卫，满五年，看房随时,39.897359580620499,116.44771099062014,1997年,802,2018-10-11,41711283,3室1厅1卫,底层/7层,集中供暖,112.3平米
﻿新上复式，自住，基本随时看房，满五年公房，白家庄,40.002175403711799,116.47613544789938,2000年,700,2018-10-11,41710976,3室2厅2卫,顶层/6层,集中供暖,115.98平米
﻿原生墅3室出售 南北通透 146.91平,39.76017827823155,116.32545679557802,2006年,820,2018-10-10,41707897,3室2厅2卫,中楼层/11层,自供暖,146.91平米
﻿远洋一方南北通透 三居室 双卧室朝南 明厨明卫,39.90122688932395,116.59497659383549,2011年,830,2018-10-10,41703302,3室2厅2卫,中楼层/6层,自供暖,139.09平米
﻿玺萌鹏苑，位置好临河边公园,39.85203670039148,116.36203084619942,2002年,720,2018-10-08,41691438,3室1厅1卫,低楼层/24层,集中供暖,115.78平米
﻿原生墅 三卧朝南三居 电梯房 满五年且一套,39.76017827823155,116.32545679557802,2003年,820,2018-10-06,41672619,3室2厅2卫,中楼层/12层,自供暖,162.75平米
﻿富力又一城B区南北通透小三居，稀有户型，满五年且一套,39.84734788905246,116.56224121333008,2008年,720,2018-10-02,41653668,3室2厅2卫,低楼层/11层,自供暖,137.46平米
﻿南北由1个2居一个1居组成的3居室 少见,39.85148450392186,116.30988991763847,2004年,750,2018-09-27,41618520,3室2厅2卫,中楼层/11层,自供暖,126.7平米
﻿通州北关 经典大三居 看房方便 真诚在售,39.92651087803798,116.68470489068048,2014年,780,2018-09-25,41607972,3室2厅2卫,中楼层/20层,集中供暖,142.04平米
﻿新天坛医院旁 益辰欣园南北向三居 高楼层 采光非常好,39.8236258434566,116.31445665504482,2003年,745,2018-09-22,41591334,3室2厅2卫,高楼层/13层,集中供暖,141.22平米
﻿东坝奥园四期 精装三居 中楼层 好位置 满五一套,39.957542604745068,116.54228966927319,2009年,875,2018-09-23,41590572,3室2厅2卫,中楼层/8层,自供暖,137.84平米
﻿高层全视墅大三居 五年一套,39.934330036099549,116.51312018522556,2006年,858,2018-09-22,41584978,3室2厅2卫,高楼层/27层,集中供暖,136.11平米
﻿三环边+方庄桥西+南北通透三居复式+诚售,39.85787926101443,116.43574906353526,2003年,750,2018-09-20,41564358,3室2厅2卫,高楼层/29层,集中供暖,150.77平米
﻿金地仰山 东区花园洋房 低密度 大三居,39.76516310311186,116.31313698565669,2012年,790,2018-09-18,41548949,3室2厅2卫,低楼层/10层,集中供暖,140.26平米
﻿阿曼寓所 南北通透三居室 满五年一套 业主诚意出售,39.92031557121332,116.52928293305337,2007年,850,2018-09-17,41541616,3室2厅2卫,低楼层/17层,自供暖,134.73平米
﻿都会华庭 西南3居 满五年精装修 无遮挡,39.91423139026637,116.50260597509927,2002年,870,2018-09-16,41534076,3室2厅1卫,中楼层/21层,集中供暖,138.92平米
﻿此房使用面积230平米左右，业主诚心出售，看房诚心出售,39.76486821019573,116.33628908835679,2012年,800,2018-09-10,41489267,3室2厅2卫,底层/14层,自供暖,135.34平米
﻿满五年、电梯房、看房随时、南北通透,39.732378207720177,116.33101224833782,2007年,717,2018-09-09,41477237,3室2厅2卫,中楼层/11层,,143.51平米
﻿浉城3居室，南北通透，精装修，看房方便,39.79052105032974,116.49179097835554,2009年,848,2018-09-09,41476115,3室2厅2卫,中楼层/4层,集中供暖,153.15平米
﻿总部基地科丰桥北便宜大三居 单价太低了,39.83468322688625,116.2933269048941,1999年,780,2018-09-07,41460516,3室2厅2卫,中楼层/19层,集中供暖,165.88平米
﻿鸿业兴园一区 满五年 精装南北大三居 紧邻新天坛医院,39.83626035177631,116.30667447846898,2006年,820,2018-09-05,41446518,3室2厅2卫,顶层/16层,自供暖,127.33平米
﻿方庄 芳林苑小区  大三居超大客厅东南向业主诚心出售,39.86671515619718,116.44447870897571,2001年,810,2018-08-26,41376210,3室1厅2卫,高楼层/22层,集中供暖,140.54平米
﻿CBD 现代城 高层三居室 小区中心位置 户型好只有契税,39.90625636582404,116.47588557211415,2001年,795,2018-08-25,41363358,3室2厅2卫,中楼层/29层,自供暖,138.93平米
﻿富力又一城双卧朝南大三居，有钥匙，满五年且一套,39.84732912260175,116.56603377413694,2006年,795,2018-08-24,41354429,3室2厅2卫,低楼层/22层,自供暖,160.2平米
﻿五年唯一 高楼层大三居 南北通透装修好,39.934330036099549,116.51312018522556,2006年,875,2018-08-22,41341954,3室2厅2卫,高楼层/27层,集中供暖,135.81平米
﻿方庄 城市芳挺 大客厅3居室 成心出售,39.86490932706998,116.43638220820766,2004年,780,2018-08-20,41328516,3室1厅1卫,低楼层/18层,集中供暖,111.34平米
